,0
0,0.046103492
1,-0.42956555
2,-0.5605208
3,-0.48644385
4,2.010745
5,-0.4713004
6,0.88566816
7,0.19876137
8,-0.03603489
9,0.46280324
10,-0.9706808
11,0.10878966
12,0.3255005
13,-0.01772187
14,0.534983
15,1.3794096
16,-0.98193675
17,0.3418716
18,0.3190568
19,3.0
20,0.6843398
21,-0.6330118
22,0.17050643
23,0.15258265
24,0.41570204
25,-0.8003191
26,3.0
27,0.7409474
28,-0.2693393
29,1.5781741
30,-0.51188576
31,-0.6778247
32,0.21281028
33,-0.3973138
34,-0.21507435
35,-0.18153554
36,-0.031192677
37,-0.3915741
38,0.11658361
39,-0.4713578
40,-0.073627345
41,0.55105495
42,-0.5210698
43,0.39081046
44,-0.29683867
45,-0.719069
46,-0.14928576
47,-1.1322069
48,-0.19780816
49,-0.054959472
50,-1.2091339
51,-0.0837613
52,0.38348386
53,0.38946223
54,0.30035615
55,-0.19433212
56,1.6214386
57,-0.9161636
58,-0.23738413
59,0.53504276
60,-0.4421324
61,-0.22869267
62,1.168012
63,0.7797874
64,-0.16499613
65,0.44762483
66,-0.10569408
67,0.18052518
68,0.3049005
69,-0.0065390016
70,1.9882948
71,-0.76690936
72,-0.60480183
73,-0.13359863
74,-0.2790213
75,-0.21982548
76,0.70164394
77,1.0264865
78,-0.6751056
79,-0.07221618
80,-0.58958584
81,-0.30244604
82,0.32915786
83,-0.47805792
84,-0.01815636
85,0.010962234
86,-0.20099737
87,0.13180429
88,-0.9591084
89,-0.5249485
90,0.037152108
91,-0.27312946
92,-0.9291825
93,-0.1669748
94,-0.7299541
95,-0.5549393
96,0.27964807
97,-0.30078086
98,-0.69479954
99,-0.4271525
100,-0.37049243
101,0.89533263
102,0.17554812
103,-0.79462236
104,-0.89466673
105,0.15787832
106,-0.9668367
107,0.12714322
108,-0.31609288
109,-0.09939167
110,1.4547008
111,0.16677777
112,0.123157844
113,0.46545687
114,0.4552388
115,0.3854307
116,-0.25725046
117,1.0131327
118,-0.16129944
119,-0.12121871
120,-0.3992713
121,-0.65960747
122,0.25374058
123,-0.97420776
124,0.04078964
125,-0.34465176
126,-0.5839065
127,-0.32337838
128,0.42409682
129,2.2269595
130,-0.9405746
131,0.15497346
132,-1.2289008
133,-0.6946728
134,-0.12940136
135,-0.1846487
136,0.7651518
137,-0.19654897
138,-0.40963548
139,0.8223638
140,-0.18932438
141,0.062465195
142,-0.5543314
143,-0.00095903745
144,-0.20542559
145,-0.3002025
146,0.052558634
147,1.7663589
148,0.1438793
149,0.4124784
150,0.3994094
151,0.15027702
152,0.34906062
153,-0.6580935
154,3.0
155,0.122681916
156,0.33349052
157,-0.21895038
158,-0.32909492
159,-0.030494913
160,0.02908335
161,-0.27354556
162,-0.23674557
163,-0.1261202
164,-0.2653213
165,-1.8831671
166,0.593679
167,-0.036730297
168,-0.10059745
169,-0.4948636
170,0.06563628
171,0.58279747
172,0.9750858
173,0.18462604
174,0.93957186
175,-0.5974524
176,0.13478649
177,-0.17094193
178,0.16321893
179,1.2416302
180,1.7430584
181,-0.54606193
182,0.84389174
183,0.19472137
184,0.24441831
185,0.091069326
186,0.3388971
187,-0.1763567
188,-0.024688972
189,-0.4137295
190,0.2031534
191,0.33290464
192,-0.21543023
193,-0.9332305
194,1.4061912
195,0.25210702
196,-1.0459551
197,1.0652217
198,-0.24317591
199,0.18305637
200,0.512482
